"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","7.00","7.03","7.09","6.97","59.77M","-0.57%"
"12/30/2024","7.04","7.00","7.07","6.96","57.58M","0.00%"
"12/27/2024","7.04","7.01","7.09","6.95","64.85M","0.72%"
"12/26/2024","6.99","7.13","7.15","6.95","64.18M","-1.69%"
"12/25/2024","7.11","7.04","7.11","7.01","81.98M","1.28%"
"12/24/2024","7.02","6.95","7.06","6.94","79.10M","0.43%"
"12/23/2024","6.99","6.78","7.01","6.77","131.25M","3.10%"
"12/20/2024","6.78","6.91","6.94","6.77","79.06M","-1.60%"
"12/19/2024","6.89","6.99","7.01","6.89","71.21M","-1.85%"
"12/18/2024","7.02","6.88","7.08","6.88","138.01M","2.33%"
"12/17/2024","6.86","6.78","6.90","6.76","72.73M","1.03%"
"12/16/2024","6.79","6.75","6.85","6.70","72.42M","0.59%"
"12/13/2024","6.75","6.89","6.89","6.74","100.51M","-2.03%"
"12/12/2024","6.89","6.99","7.00","6.86","84.19M","-1.43%"
"12/11/2024","6.99","6.89","7.01","6.88","78.16M","1.16%"
"12/10/2024","6.91","7.05","7.09","6.90","89.52M","-0.58%"
"12/09/2024","6.95","6.92","6.97","6.89","74.95M","0.43%"
"12/06/2024","6.92","6.85","6.95","6.83","94.93M","1.32%"
"12/05/2024","6.83","6.82","6.84","6.77","58.09M","0.15%"
"12/04/2024","6.82","6.81","6.87","6.74","70.89M","0.00%"
"12/03/2024","6.82","6.80","6.84","6.75","61.50M","0.59%"
"12/02/2024","6.78","6.62","6.82","6.61","116.66M","2.42%"
"11/29/2024","6.62","6.64","6.74","6.61","70.18M","0.00%"
"11/28/2024","6.62","6.58","6.67","6.57","48.38M","0.30%"
"11/27/2024","6.60","6.52","6.60","6.45","53.95M","1.23%"
"11/26/2024","6.52","6.56","6.59","6.50","52.61M","-0.61%"
"11/25/2024","6.56","6.58","6.66","6.52","61.20M","0.00%"
"11/22/2024","6.56","6.75","6.81","6.56","77.10M","-3.10%"
"11/21/2024","6.77","6.71","6.79","6.71","54.68M","0.59%"
"11/20/2024","6.73","6.67","6.74","6.66","57.24M","0.00%"
"11/19/2024","6.73","6.77","6.81","6.64","97.87M","-1.03%"
"11/18/2024","6.80","6.65","6.93","6.65","192.46M","3.34%"
"11/15/2024","6.58","6.54","6.64","6.52","67.92M","0.46%"
"11/14/2024","6.55","6.64","6.67","6.55","66.80M","-1.21%"
"11/13/2024","6.63","6.60","6.70","6.60","66.93M","0.30%"
"11/12/2024","6.61","6.70","6.76","6.61","81.83M","-1.49%"
"11/11/2024","6.71","6.81","6.81","6.63","94.97M","-1.76%"
"11/08/2024","6.83","6.98","7.02","6.77","116.72M","-1.73%"
