"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","40.59","41.46","41.90","40.46","10.90M","-2.10%"
"12/30/2024","41.46","41.36","41.80","41.13","6.19M","0.39%"
"12/27/2024","41.30","41.21","41.50","40.93","5.67M","0.02%"
"12/26/2024","41.29","41.49","41.75","41.12","6.02M","-0.75%"
"12/25/2024","41.60","41.77","42.00","41.41","5.87M","0.05%"
"12/24/2024","41.58","41.70","42.12","41.26","8.47M","-0.29%"
"12/23/2024","41.70","42.10","42.64","41.55","10.58M","-1.21%"
"12/20/2024","42.21","41.51","43.00","41.39","16.00M","1.47%"
"12/19/2024","41.60","40.10","41.76","40.02","17.15M","4.00%"
"12/18/2024","40.00","39.96","40.36","39.91","4.14M","0.13%"
"12/17/2024","39.95","40.15","40.36","39.83","6.04M","-0.77%"
"12/16/2024","40.26","40.90","41.27","40.06","6.95M","-1.56%"
"12/13/2024","40.90","41.37","41.50","40.88","7.83M","-1.80%"
"12/12/2024","41.65","41.30","41.80","41.11","7.22M","1.07%"
"12/11/2024","41.21","40.71","41.48","40.65","7.86M","1.23%"
"12/10/2024","40.71","41.25","41.55","40.65","10.57M","1.29%"
"12/09/2024","40.19","40.75","41.27","40.05","7.78M","-1.03%"
"12/06/2024","40.61","40.75","41.41","40.47","8.17M","-0.37%"
"12/05/2024","40.76","40.70","40.90","40.24","5.88M","0.00%"
"12/04/2024","40.76","40.79","41.16","40.30","6.25M","-0.46%"
"12/03/2024","40.95","41.03","41.45","40.63","6.14M","-0.73%"
"12/02/2024","41.25","40.69","42.11","40.60","10.21M","1.20%"
"11/29/2024","40.76","39.45","41.34","39.40","12.67M","3.48%"
"11/28/2024","39.39","39.84","40.00","39.31","4.69M","-1.13%"
"11/27/2024","39.84","39.19","39.91","39.11","5.85M","0.94%"
"11/26/2024","39.47","39.09","40.10","39.01","5.27M","0.64%"
"11/25/2024","39.22","39.50","39.87","38.78","9.25M","-0.78%"
"11/22/2024","39.53","40.99","41.00","39.52","8.00M","-3.35%"
"11/21/2024","40.90","41.15","41.25","40.44","8.29M","-0.49%"
"11/20/2024","41.10","41.40","41.90","41.00","9.20M","-0.92%"
"11/19/2024","41.48","41.15","41.80","40.64","7.87M","0.97%"
"11/18/2024","41.08","41.29","42.17","40.82","11.46M","0.17%"
"11/15/2024","41.01","41.98","42.30","41.00","11.22M","-2.36%"
"11/14/2024","42.00","42.20","43.00","42.00","9.51M","-1.08%"
"11/13/2024","42.46","42.30","42.69","41.82","11.07M","-0.19%"
"11/12/2024","42.54","42.87","44.26","42.29","17.40M","-0.93%"
"11/11/2024","42.94","42.27","42.95","41.72","14.08M","0.59%"
"11/08/2024","42.69","42.18","43.00","42.00","19.84M","1.21%"
"11/07/2024","42.18","40.60","42.28","40.51","19.22M","3.28%"
"11/06/2024","40.84","40.68","41.22","40.41","12.27M","0.29%"
"11/05/2024","40.72","40.10","41.28","39.67","15.41M","1.27%"
"11/04/2024","40.21","40.40","40.60","39.83","11.05M","-0.47%"
