Date,Price_Baoshan Iron & Steel Stock Price History,Price_Beijing Tongrentang Stock Price History,Price_China Shenhua Energy SH Stock Price History,Price_Huaneng Power International Stock Price History,Price_SAIC Motor Corp Stock Price History
2015-01-05,7.47,22.4,22.32,9.36,23.61
2015-01-06,7.17,24.38,22.86,9.1,24.66
2015-01-07,7.06,23.86,22.86,9.08,24.67
2015-01-08,6.79,23.68,22.38,8.66,24.1
2015-01-09,6.64,23.59,21.55,8.56,23.75
2015-01-12,6.34,23.88,20.83,8.22,24.65
2015-01-13,6.33,23.82,20.7,8.24,25.15
2015-01-14,6.23,23.94,20.5,8.37,24.35
2015-01-15,6.44,23.96,21.49,8.59,24.66
2015-01-16,6.41,24.44,21.67,8.6,24.83
2015-01-19,5.8,22.87,19.51,7.73,22.84
2015-01-20,5.9,23.36,19.57,8.09,23.33
2015-01-21,6.12,23.68,20.42,8.33,23.96
2015-01-22,6.21,23.87,20.45,8.36,24.07
2015-01-23,6.15,23.45,20.15,8.34,23.79
2015-01-26,6.25,24.2,20.28,8.47,23.6
2015-01-27,6.12,23.67,19.8,8.35,24.18
2015-01-28,6.04,23.26,19.47,8.21,23.9
2015-01-29,6.07,22.89,19.33,8.24,23.4
2015-01-30,5.94,22.58,19.09,8.29,22.66
2015-02-02,5.71,22.15,18.53,7.99,21.96
2015-02-03,5.83,22.44,19.13,8.07,22.5
2015-02-04,6.41,22.16,18.97,8.02,21.94
2015-02-05,6.18,22.06,18.56,7.58,21.82
2015-02-06,6.43,22.61,17.92,7.2,22.01
2015-02-09,6.63,22.22,17.83,7.19,22.48
2015-02-10,6.61,21.45,18.21,7.41,22.99
2015-02-11,6.49,21.76,18.28,7.43,23.12
2015-02-12,6.41,21.49,18.28,7.44,23.02
2015-02-13,6.49,21.94,18.42,7.49,22.91
2015-02-16,6.48,22.2,18.4,7.46,23.17
2015-02-17,6.62,22.57,18.39,7.48,23.58
2015-02-25,6.53,22.32,17.95,7.57,24.16
2015-02-26,6.62,22.55,18.56,7.75,24.6
2015-02-27,6.69,22.54,18.6,7.71,24.38
2015-03-02,6.93,22.47,18.9,7.79,24.28
2015-03-03,6.61,22.87,18.18,7.53,23.45
2015-03-04,6.59,23.28,18.31,7.53,23.79
2015-03-05,6.35,23.0,17.92,7.41,23.28
2015-03-06,6.3,22.52,18.06,7.41,22.74
2015-03-09,6.38,22.69,18.24,7.51,23.12
2015-03-10,6.31,22.71,18.04,7.55,23.01
2015-03-11,6.28,22.46,17.83,7.58,23.58
2015-03-12,6.37,22.75,18.37,7.7,24.71
2015-03-13,6.44,22.68,18.69,7.72,24.74
2015-03-16,6.6,23.68,18.89,7.84,24.88
2015-03-17,6.65,23.37,19.05,8.09,25.12
2015-03-18,6.92,23.65,19.65,8.22,25.16
2015-03-19,6.83,24.01,19.75,8.19,24.71
2015-03-20,6.84,24.1,19.67,8.19,24.73
2015-03-23,6.98,24.45,19.99,8.38,25.45
2015-03-24,7.36,26.29,19.65,8.41,25.51
2015-03-25,7.05,26.98,19.24,8.17,24.79
2015-03-26,7.13,26.18,19.62,8.19,24.78
2015-03-27,7.07,26.2,19.73,8.19,24.68
2015-03-30,7.26,26.23,20.45,8.41,25.39
2015-03-31,7.12,26.1,20.1,8.27,24.84
2015-04-01,7.15,26.41,20.34,8.4,25.81
2015-04-02,7.09,26.5,20.63,8.39,25.56
2015-04-03,7.15,27.36,20.51,8.41,26.23
2015-04-07,7.28,28.79,21.14,8.64,26.09
2015-04-08,7.32,29.25,20.92,8.52,26.2
2015-04-09,7.55,29.68,20.58,8.31,25.49
2015-04-10,7.56,30.49,20.99,8.48,25.73
2015-04-13,7.63,31.74,21.32,8.66,25.57
2015-04-14,7.55,33.88,21.08,9.41,25.57
2015-04-15,7.3,31.78,20.63,9.01,25.73
