"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","43.48","42.90","43.97","42.70","35.87M","1.64%"
"12/30/2024","42.78","42.40","43.29","42.40","21.76M","1.40%"
"12/27/2024","42.19","42.18","42.53","41.68","18.65M","0.14%"
"12/26/2024","42.13","42.68","43.09","42.10","22.18M","-1.79%"
"12/25/2024","42.90","41.82","43.26","41.74","28.35M","2.78%"
"12/24/2024","41.74","41.70","41.98","41.16","19.60M","-0.10%"
"12/23/2024","41.78","41.20","42.17","40.98","33.49M","1.06%"
"12/20/2024","41.34","42.60","42.72","41.05","40.11M","-2.98%"
"12/19/2024","42.61","42.72","43.35","42.50","17.27M","-1.05%"
"12/18/2024","43.06","43.18","43.85","42.93","28.25M","0.61%"
"12/17/2024","42.80","43.33","44.20","42.72","29.38M","-1.50%"
"12/16/2024","43.45","42.35","43.59","42.35","36.80M","2.00%"
"12/13/2024","42.60","42.96","43.13","42.34","43.17M","-1.18%"
"12/12/2024","43.11","43.27","43.40","42.52","25.90M","-0.62%"
"12/11/2024","43.38","42.54","43.40","42.43","29.09M","1.97%"
"12/10/2024","42.54","43.41","43.66","42.11","34.90M","0.09%"
"12/09/2024","42.50","41.90","42.98","41.51","24.50M","0.38%"
"12/06/2024","42.34","41.97","42.68","41.90","26.57M","1.00%"
"12/05/2024","41.92","41.99","42.25","41.67","23.91M","-0.43%"
"12/04/2024","42.10","39.98","42.30","39.90","58.31M","4.65%"
"12/03/2024","40.23","39.50","40.24","39.41","26.87M","1.57%"
"12/02/2024","39.61","39.80","39.92","39.10","37.19M","-0.88%"
"11/29/2024","39.96","40.48","40.58","39.90","18.67M","-0.77%"
"11/28/2024","40.27","40.59","40.74","40.18","15.73M","-0.81%"
"11/27/2024","40.60","39.81","40.67","39.65","25.26M","2.01%"
"11/26/2024","39.80","39.63","40.12","39.15","18.94M","-0.77%"
"11/25/2024","40.11","40.18","40.37","39.50","23.74M","0.78%"
"11/22/2024","39.80","41.19","41.32","39.80","27.34M","-3.37%"
"11/21/2024","41.19","40.96","41.56","40.90","20.26M","0.37%"
"11/20/2024","41.04","40.85","41.24","40.80","22.18M","-0.17%"
"11/19/2024","41.11","41.43","41.64","40.66","34.99M","-0.77%"
"11/18/2024","41.43","39.99","41.50","39.93","57.23M","3.21%"
"11/15/2024","40.14","39.58","40.40","39.20","41.35M","1.34%"
"11/14/2024","39.61","39.11","40.10","38.93","33.18M","0.61%"
"11/13/2024","39.37","38.77","39.90","38.67","35.78M","1.18%"
"11/12/2024","38.91","39.22","39.66","38.88","35.77M","-1.19%"
"11/11/2024","39.38","39.69","39.80","39.03","33.82M","-2.02%"
"11/08/2024","40.19","40.81","41.38","39.87","40.19M","-1.52%"
"11/07/2024","40.81","40.33","40.83","40.12","29.92M","1.19%"
"11/06/2024","40.33","41.05","41.48","40.24","33.61M","-1.71%"
"11/05/2024","41.03","40.65","41.05","40.43","23.24M","0.69%"
"11/04/2024","40.75","41.12","41.16","40.30","24.27M","-0.78%"
"11/01/2024","41.07","40.03","41.44","40.03","35.74M","2.57%"
"10/31/2024","40.04","40.31","40.53","39.50","26.45M","-0.99%"
"10/30/2024","40.44","40.88","41.22","40.11","24.20M","-1.32%"
"10/29/2024","40.98","41.03","41.37","40.59","27.68M","-0.29%"
"10/28/2024","41.10","41.34","42.00","40.86","35.55M","0.42%"
"10/25/2024","40.93","41.29","41.37","40.81","19.11M","-0.87%"
"10/24/2024","41.29","41.05","41.46","40.76","22.81M","0.58%"
"10/23/2024","41.05","41.38","41.64","40.88","29.02M","-0.94%"
"10/22/2024","41.44","41.33","41.67","41.04","25.29M","0.29%"
"10/21/2024","41.32","41.92","42.45","41.10","34.90M","-1.57%"
"10/18/2024","41.98","41.05","42.40","40.86","36.33M","2.42%"
"10/17/2024","40.99","41.58","42.47","40.97","21.77M","-1.30%"
"10/16/2024","41.53","41.68","42.13","41.27","21.01M","-0.67%"
"10/15/2024","41.81","42.64","42.98","41.81","26.72M","-2.02%"
"10/14/2024","42.67","42.40","43.55","41.92","34.97M","0.16%"
"10/11/2024","42.60","43.15","44.05","42.00","51.44M","-0.81%"
"10/10/2024","42.95","40.50","43.76","40.50","75.54M","6.44%"
"10/09/2024","40.35","41.92","42.53","40.32","58.17M","-4.92%"
"10/08/2024","42.44","47.10","47.50","40.77","118.47M","-2.66%"
"09/30/2024","43.60","42.32","44.97","41.20","95.93M","4.28%"
"09/27/2024","41.81","43.51","43.51","41.50","24.45M","-2.15%"
"09/26/2024","42.73","42.00","42.77","41.53","28.17M","2.27%"
"09/25/2024","41.78","42.00","42.90","41.39","29.69M","1.46%"
"09/24/2024","41.18","39.70","41.19","39.25","34.17M","5.32%"
"09/23/2024","39.10","38.33","39.49","38.21","16.31M","1.56%"
"09/20/2024","38.50","37.95","38.68","37.83","21.63M","1.32%"
"09/19/2024","38.00","38.44","38.44","37.05","23.30M","-0.63%"
"09/18/2024","38.24","37.62","38.80","37.62","13.34M","1.03%"
"09/13/2024","37.85","37.50","38.19","37.50","14.58M","0.64%"
"09/12/2024","37.61","36.93","37.83","36.59","24.26M","2.37%"
"09/11/2024","36.74","37.20","37.28","35.95","24.27M","-2.00%"
"09/10/2024","37.49","37.20","38.23","37.17","18.62M","0.73%"
"09/09/2024","37.22","38.00","38.04","36.62","26.25M","-2.16%"
"09/06/2024","38.04","38.70","39.03","38.03","16.94M","-1.76%"
"09/05/2024","38.72","39.63","40.06","38.61","25.28M","-2.37%"
"09/04/2024","39.66","40.00","40.20","39.55","13.26M","-1.29%"
"09/03/2024","40.18","41.08","41.75","39.80","19.01M","-2.19%"
"09/02/2024","41.08","40.51","41.49","40.08","21.12M","1.31%"
"08/30/2024","40.55","40.51","41.03","39.77","21.53M","-0.49%"
"08/29/2024","40.75","41.38","41.50","40.46","12.69M","-1.59%"
"08/28/2024","41.41","41.53","42.18","41.05","15.81M","-0.70%"
"08/27/2024","41.70","40.34","41.79","40.15","21.79M","3.35%"
"08/26/2024","40.35","40.35","40.55","39.81","11.99M","0.17%"
"08/23/2024","40.28","39.81","40.99","39.76","13.29M","0.88%"
"08/22/2024","39.93","39.77","40.07","39.51","10.68M","0.40%"
"08/21/2024","39.77","39.84","40.08","39.10","12.98M","0.20%"
"08/20/2024","39.69","40.36","40.45","39.44","14.05M","-1.64%"
"08/19/2024","40.35","40.53","41.21","40.26","13.63M","-0.44%"
"08/16/2024","40.53","40.19","40.64","40.07","13.71M","0.85%"
"08/15/2024","40.19","39.00","40.38","38.95","23.44M","2.71%"
"08/14/2024","39.13","39.00","39.40","38.53","8.95M","0.13%"
"08/13/2024","39.08","39.30","39.72","38.82","12.19M","-0.56%"
"08/12/2024","39.30","38.82","39.65","38.63","13.09M","0.64%"
"08/09/2024","39.05","38.80","39.30","38.50","11.12M","0.41%"
"08/08/2024","38.89","39.00","39.48","38.86","14.56M","0.03%"
"08/07/2024","38.88","38.15","39.39","38.01","21.03M","1.91%"
"08/06/2024","38.15","38.51","38.70","37.89","19.08M","-0.83%"
"08/05/2024","38.47","38.85","38.86","38.23","22.03M","-1.64%"
"08/02/2024","39.11","39.20","39.29","38.51","16.90M","-0.76%"
"08/01/2024","39.41","39.99","40.32","39.26","21.15M","-0.86%"
"07/31/2024","39.75","39.81","40.25","39.41","25.21M","-0.13%"
"07/30/2024","39.80","40.68","40.76","39.52","22.30M","-2.55%"
"07/29/2024","40.84","40.58","41.11","40.45","13.84M","0.10%"
"07/26/2024","40.80","41.25","41.40","40.46","18.18M","-1.09%"
"07/25/2024","41.25","41.72","41.72","40.68","21.26M","-1.22%"
"07/24/2024","41.76","40.96","41.95","40.80","18.23M","1.70%"
"07/23/2024","41.06","41.50","41.85","40.90","18.09M","-1.61%"
"07/22/2024","41.73","41.73","41.91","39.90","39.51M","-0.57%"
"07/19/2024","41.97","42.03","42.17","41.48","22.32M","-0.19%"
"07/18/2024","42.05","41.90","42.13","41.49","17.21M","0.79%"
"07/17/2024","41.72","42.38","42.57","41.44","21.98M","-1.63%"
"07/16/2024","42.41","42.25","42.60","41.89","20.05M","0.05%"
"07/15/2024","42.39","41.00","42.44","40.80","24.83M","2.86%"
"07/12/2024","41.21","41.53","42.03","40.91","24.10M","-1.13%"
"07/11/2024","41.68","41.33","42.11","40.87","34.01M","-0.07%"
"07/10/2024","41.71","43.09","43.20","41.18","47.96M","-3.89%"
"07/09/2024","43.40","43.30","43.55","42.71","23.79M","0.05%"
"07/08/2024","43.38","42.80","43.63","42.30","25.66M","-3.81%"
"07/05/2024","45.10","45.40","45.68","44.09","27.41M","-0.66%"
"07/04/2024","45.40","45.24","45.78","45.24","16.06M","0.33%"
"07/03/2024","45.25","45.60","46.02","44.92","20.17M","-1.20%"
"07/02/2024","45.80","45.30","45.88","44.76","22.67M","1.15%"
"07/01/2024","45.28","44.41","45.96","44.40","21.00M","2.05%"
"06/28/2024","44.37","43.23","44.63","43.20","22.11M","2.00%"
"06/27/2024","43.50","43.57","43.99","43.17","25.07M","-0.57%"
"06/26/2024","43.75","43.82","44.15","43.05","18.86M","-0.41%"
"06/25/2024","43.93","44.34","44.36","43.67","18.01M","-0.72%"
"06/24/2024","44.25","44.29","44.60","43.91","20.11M","0.32%"
"06/21/2024","44.11","44.41","44.68","43.76","19.87M","-1.17%"
"06/20/2024","44.63","43.41","44.83","43.19","35.70M","2.74%"
"06/19/2024","43.44","43.40","44.12","43.17","23.46M","-0.30%"
"06/18/2024","43.57","43.52","43.73","42.80","16.95M","0.07%"
"06/17/2024","43.54","44.22","44.47","43.30","27.55M","-1.83%"
"06/14/2024","44.35","44.45","45.12","44.00","28.17M","-0.52%"
"06/13/2024","44.58","44.50","44.98","44.17","18.23M","-0.16%"
"06/12/2024","44.65","43.23","44.85","43.01","26.47M","2.79%"
"06/11/2024","43.44","44.16","44.52","43.11","24.36M","-1.61%"
"06/07/2024","44.15","44.21","44.39","43.85","22.15M","-0.02%"
"06/06/2024","44.16","42.77","44.76","42.77","32.65M","3.30%"
"06/05/2024","42.75","42.31","43.40","42.20","26.56M","0.97%"
"06/04/2024","42.34","43.22","43.26","42.33","33.07M","-2.31%"
"06/03/2024","43.34","42.70","43.58","42.62","26.58M","2.39%"
"05/31/2024","42.33","43.26","43.40","42.33","20.06M","-1.76%"
"05/30/2024","43.09","43.11","43.86","42.70","23.33M","-0.83%"
"05/29/2024","43.45","42.90","43.65","42.60","21.60M","1.28%"
"05/28/2024","42.90","42.01","43.41","41.94","23.79M","2.14%"
"05/27/2024","42.00","41.59","43.02","41.52","25.69M","1.67%"
"05/24/2024","41.31","42.08","42.20","41.30","16.59M","-1.64%"
"05/23/2024","42.00","41.71","42.13","41.42","16.75M","0.62%"
"05/22/2024","41.74","41.90","42.52","41.66","24.27M","-0.55%"
"05/21/2024","41.97","40.88","42.00","40.64","29.40M","2.54%"
"05/20/2024","40.93","39.90","41.12","39.86","27.19M","2.61%"
"05/17/2024","39.89","39.53","39.92","39.40","20.81M","0.73%"
"05/16/2024","39.60","40.17","40.22","39.55","21.26M","-1.42%"
"05/15/2024","40.17","40.00","40.33","39.85","14.44M","-0.25%"
"05/14/2024","40.27","40.61","40.73","39.65","26.47M","-1.25%"
"05/13/2024","40.78","40.76","40.96","39.95","21.85M","-0.46%"
"05/10/2024","40.97","40.84","41.20","40.66","22.70M","0.29%"
"05/09/2024","40.85","40.99","41.30","40.61","26.53M","-0.73%"
"05/08/2024","41.15","40.01","41.45","40.01","38.19M","3.06%"
"05/07/2024","39.93","39.49","39.99","39.40","22.05M","0.96%"
"05/06/2024","39.55","39.69","39.73","38.80","33.78M","-0.70%"
"04/30/2024","39.83","39.00","40.01","38.91","29.74M","2.13%"
"04/29/2024","39.00","39.48","39.48","38.61","41.78M","-1.39%"
