"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","6.77","6.85","6.87","6.77","40.34M","-1.02%"
"12/30/2024","6.84","6.85","6.89","6.82","38.54M","-0.44%"
"12/27/2024","6.87","6.78","6.88","6.75","51.52M","1.18%"
"12/26/2024","6.79","6.95","6.97","6.75","88.14M","-2.44%"
"12/25/2024","6.96","7.02","7.05","6.90","48.85M","-0.71%"
"12/24/2024","7.01","6.95","7.02","6.90","46.17M","0.57%"
"12/23/2024","6.97","6.89","7.01","6.86","55.48M","1.16%"
"12/20/2024","6.89","7.03","7.06","6.87","63.38M","-1.99%"
"12/19/2024","7.03","7.12","7.15","6.97","61.03M","-1.68%"
"12/18/2024","7.15","7.09","7.25","7.05","68.21M","1.42%"
"12/17/2024","7.05","7.15","7.19","7.04","41.35M","-1.26%"
"12/16/2024","7.14","6.99","7.15","6.99","58.65M","2.00%"
"12/13/2024","7.00","7.12","7.13","6.99","51.88M","-2.10%"
"12/12/2024","7.15","7.14","7.15","7.08","47.16M","0.28%"
"12/11/2024","7.13","7.12","7.17","7.09","34.43M","0.28%"
"12/10/2024","7.11","7.25","7.29","7.10","60.43M","-1.11%"
"12/09/2024","7.19","7.28","7.28","7.11","60.07M","0.84%"
"12/06/2024","7.13","7.06","7.15","7.05","35.94M","0.99%"
"12/05/2024","7.06","7.08","7.10","7.04","22.73M","-0.42%"
"12/04/2024","7.09","7.10","7.11","7.05","28.17M","-0.14%"
"12/03/2024","7.10","7.04","7.12","7.00","32.54M","0.57%"
"12/02/2024","7.06","6.94","7.07","6.93","38.80M","1.29%"
"11/29/2024","6.97","6.91","6.98","6.88","39.95M","1.01%"
"11/28/2024","6.90","6.94","6.97","6.88","27.97M","-0.86%"
"11/27/2024","6.96","6.88","6.96","6.80","31.42M","1.16%"
"11/26/2024","6.88","6.92","6.96","6.85","26.02M","-0.58%"
"11/25/2024","6.92","7.00","7.06","6.87","40.97M","-1.00%"
"11/22/2024","6.99","7.22","7.26","6.97","62.40M","-2.92%"
"11/21/2024","7.20","7.14","7.21","7.14","29.96M","0.42%"
"11/20/2024","7.17","7.10","7.20","7.06","48.53M","0.84%"
"11/19/2024","7.11","7.23","7.23","7.01","62.48M","-1.52%"
"11/18/2024","7.22","7.14","7.33","7.13","63.85M","1.40%"
"11/15/2024","7.12","7.20","7.29","7.11","58.15M","-1.25%"
"11/14/2024","7.21","7.28","7.40","7.20","71.76M","-1.37%"
"11/13/2024","7.31","7.25","7.34","7.25","54.10M","0.41%"
"11/12/2024","7.28","7.35","7.43","7.25","74.45M","-0.95%"
"11/11/2024","7.35","7.30","7.35","7.23","51.19M","0.41%"
"11/08/2024","7.32","7.40","7.45","7.28","59.73M","-0.41%"
"11/07/2024","7.35","7.21","7.35","7.17","65.38M","1.52%"
"11/06/2024","7.24","7.27","7.31","7.21","51.34M","-0.41%"
"11/05/2024","7.27","7.20","7.27","7.16","53.76M","0.83%"
"11/04/2024","7.21","7.21","7.24","7.15","36.42M","0.14%"
"11/01/2024","7.20","7.26","7.29","7.16","45.17M","-0.83%"
"10/31/2024","7.26","7.11","7.37","7.08","84.20M","2.11%"
"10/30/2024","7.11","7.17","7.22","7.03","76.06M","-2.20%"
"10/29/2024","7.27","7.46","7.48","7.26","65.76M","-2.81%"
"10/28/2024","7.48","7.27","7.49","7.18","90.90M","2.75%"
"10/25/2024","7.28","7.34","7.36","7.20","79.91M","-1.09%"
"10/24/2024","7.36","7.25","7.40","7.22","72.18M","0.68%"
"10/23/2024","7.31","7.36","7.47","7.25","79.69M","-0.14%"
"10/22/2024","7.32","7.03","7.36","7.00","120.26M","4.42%"
"10/21/2024","7.01","7.05","7.07","6.97","62.58M","-0.57%"
"10/18/2024","7.05","6.91","7.11","6.82","94.07M","1.88%"
"10/17/2024","6.92","7.08","7.14","6.91","64.53M","-2.12%"
"10/16/2024","7.07","7.03","7.15","7.00","55.06M","-0.14%"
"10/15/2024","7.08","7.23","7.30","7.07","96.61M","-2.48%"
"10/14/2024","7.26","7.31","7.38","7.18","137.78M","-0.68%"
"10/11/2024","7.31","7.57","7.59","7.25","75.66M","-3.43%"
"10/10/2024","7.57","7.40","7.78","7.39","101.54M","1.61%"
"10/09/2024","7.45","7.80","7.80","7.33","131.03M","-6.17%"
"10/08/2024","7.94","8.45","8.45","7.51","231.92M","2.98%"
"09/30/2024","7.71","7.48","7.78","7.33","192.15M","6.49%"
"09/27/2024","7.24","7.12","7.24","7.03","68.70M","2.99%"
"09/26/2024","7.03","6.85","7.03","6.79","77.72M","2.18%"
"09/25/2024","6.88","6.95","7.06","6.87","95.81M","0.15%"
"09/24/2024","6.87","6.74","6.90","6.62","68.20M","3.31%"
"09/23/2024","6.65","6.44","6.72","6.42","75.13M","2.94%"
"09/20/2024","6.46","6.54","6.54","6.38","51.39M","-1.22%"
"09/19/2024","6.54","6.44","6.56","6.39","45.66M","1.55%"
"09/18/2024","6.44","6.45","6.45","6.36","29.67M","0.31%"
"09/13/2024","6.42","6.40","6.50","6.35","42.98M","0.31%"
"09/12/2024","6.40","6.40","6.51","6.37","48.20M","0.31%"
"09/11/2024","6.38","6.55","6.55","6.35","54.62M","-3.19%"
"09/10/2024","6.59","6.62","6.64","6.39","62.87M","-0.15%"
"09/09/2024","6.60","6.63","6.64","6.51","58.90M","-1.05%"
"09/06/2024","6.67","6.75","6.86","6.66","54.47M","-1.33%"
"09/05/2024","6.76","6.77","6.80","6.66","52.40M","0.00%"
"09/04/2024","6.76","6.82","6.85","6.73","38.54M","-1.17%"
"09/03/2024","6.84","6.94","6.98","6.79","60.87M","-1.44%"
"09/02/2024","6.94","6.93","7.04","6.88","63.76M","0.00%"
"08/30/2024","6.94","6.95","6.99","6.88","79.57M","0.00%"
"08/29/2024","6.94","7.04","7.05","6.93","55.54M","-1.42%"
"08/28/2024","7.04","6.94","7.11","6.93","57.35M","1.15%"
"08/27/2024","6.96","6.98","6.99","6.86","52.07M","-0.57%"
"08/26/2024","7.00","7.13","7.15","6.95","57.93M","-1.69%"
"08/23/2024","7.12","7.18","7.22","7.09","28.58M","-1.25%"
"08/22/2024","7.21","7.17","7.23","7.12","42.55M","0.42%"
"08/21/2024","7.18","7.21","7.22","7.06","56.99M","-0.83%"
"08/20/2024","7.24","7.39","7.43","7.18","49.36M","-1.50%"
"08/19/2024","7.35","7.39","7.43","7.33","36.17M","-0.54%"
"08/16/2024","7.39","7.50","7.55","7.37","51.45M","-1.34%"
"08/15/2024","7.49","7.37","7.50","7.34","56.45M","1.35%"
"08/14/2024","7.39","7.36","7.43","7.29","39.06M","0.41%"
"08/13/2024","7.36","7.34","7.37","7.29","32.51M","0.00%"
"08/12/2024","7.36","7.42","7.45","7.33","35.77M","-0.41%"
"08/09/2024","7.39","7.45","7.49","7.39","44.37M","-0.54%"
"08/08/2024","7.43","7.53","7.55","7.41","42.48M","-1.46%"
"08/07/2024","7.54","7.48","7.59","7.46","53.65M","0.27%"
"08/06/2024","7.52","7.42","7.52","7.35","76.71M","2.04%"
"08/05/2024","7.37","7.52","7.53","7.36","75.22M","-2.25%"
"08/02/2024","7.54","7.68","7.74","7.49","133.06M","-2.58%"
"08/01/2024","7.74","7.85","7.94","7.73","116.64M","-2.64%"
"07/31/2024","7.95","8.10","8.10","7.67","181.57M","-3.17%"
"07/30/2024","8.21","8.34","8.34","8.11","46.68M","-1.68%"
"07/29/2024","8.35","8.22","8.37","8.22","36.29M","0.97%"
"07/26/2024","8.27","8.27","8.34","8.20","32.98M","-0.24%"
"07/25/2024","8.29","8.31","8.35","8.14","34.66M","-0.24%"
"07/24/2024","8.31","8.27","8.43","8.22","48.19M","0.97%"
"07/23/2024","8.23","8.42","8.45","8.21","47.90M","-2.72%"
"07/22/2024","8.46","8.73","8.73","8.40","77.77M","-3.31%"
"07/19/2024","8.75","8.76","8.81","8.61","47.62M","-0.11%"
"07/18/2024","8.76","8.57","8.77","8.44","53.84M","1.98%"
"07/17/2024","8.59","8.77","8.77","8.55","48.66M","-2.39%"
"07/16/2024","8.80","8.77","8.89","8.71","46.47M","-0.23%"
"07/15/2024","8.82","8.61","8.85","8.48","63.69M","1.38%"
"07/12/2024","8.70","8.91","8.96","8.65","66.42M","-3.01%"
