"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","20.76","20.76","21.30","20.50","121.84M","-1.33%"
"12/30/2024","21.04","19.81","21.30","19.41","182.91M","6.21%"
"12/27/2024","19.81","18.76","20.22","18.38","172.35M","5.15%"
"12/26/2024","18.84","18.88","19.28","18.70","95.38M","-0.05%"
"12/25/2024","18.85","18.61","19.40","18.54","119.82M","1.24%"
"12/24/2024","18.62","18.13","18.80","17.93","84.83M","2.70%"
"12/23/2024","18.13","18.16","18.62","17.88","80.65M","-0.33%"
"12/20/2024","18.19","18.20","18.55","18.00","75.37M","-0.76%"
"12/19/2024","18.33","18.67","18.98","17.82","125.71M","-3.42%"
"12/18/2024","18.98","18.64","19.43","18.36","154.32M","3.89%"
"12/17/2024","18.27","18.29","18.85","18.18","124.82M","0.22%"
"12/16/2024","18.23","18.37","18.84","18.15","154.27M","-2.72%"
"12/13/2024","18.74","17.30","19.16","17.18","310.80M","7.58%"
"12/12/2024","17.42","17.82","17.85","17.18","112.79M","-1.69%"
"12/11/2024","17.72","17.96","18.80","17.53","126.05M","-1.39%"
"12/10/2024","17.97","18.45","18.90","17.92","103.57M","-0.55%"
"12/09/2024","18.07","17.83","18.76","17.83","93.57M","1.75%"
"12/06/2024","17.76","18.20","18.40","17.71","79.75M","-2.84%"
"12/05/2024","18.28","17.71","18.45","17.58","101.18M","2.41%"
"12/04/2024","17.85","18.70","19.36","17.75","142.23M","-5.71%"
"12/03/2024","18.93","18.91","19.40","18.53","158.56M","-0.37%"
"12/02/2024","19.00","16.95","19.34","16.93","223.58M","8.08%"
"11/29/2024","17.58","17.22","18.04","17.20","112.89M","0.86%"
"11/28/2024","17.43","17.78","17.90","16.94","142.63M","-2.79%"
"11/27/2024","17.93","18.17","18.63","17.10","219.24M","-2.40%"
"11/26/2024","18.37","18.76","19.14","18.31","173.70M","-5.79%"
"11/25/2024","19.50","18.90","19.78","18.30","307.51M","8.45%"
"11/22/2024","17.98","18.05","19.14","17.68","240.35M","-1.64%"
"11/21/2024","18.28","16.88","18.86","16.87","212.75M","6.59%"
"11/20/2024","17.15","16.30","17.32","16.30","233.21M","3.81%"
